"";"p_sr";"p_mr";"p_pr";"p_ft";"p_rf";"nn"
"1";14897,7171799734;16354,9099220773;14419,5613205905;11719,6484549964;12518,6112335927;-0,131584948201764
"2";12666,0677355064;13736,4732985394;13013,5470279001;11719,6484549964;8410,63183514295;-0,290397687671254
"3";14005,0574021866;11064,3368356554;13797,2687065552;11719,6484549964;10865,8712595731;-0,198134642033453
"4";19361,0160689074;15610,065674236;18608,7340811599;11254,1980058178;17571,9750816846;0,00764239861291388
"5";14674,5522355267;19378,4180935994;14256,7273579283;11719,6484549964;11392,0277684232;-0,3375980369082
"6";19249,4335966841;9929,32455636933;18484,023608539;5430,53668227666;19955,9598;-0,457279574308552
"7";13558,7275132932;5119,17208170518;13515,6657538545;11254,1980058178;11566,2870342129;-0,16744772642767
"8";16013,5419022069;6048,53481859155;15304,088695771;11254,1980058178;14185,2249047646;-0,45974450180116
"9";12777,6502077297;27613,7565919086;13071,7773679282;22430,5430709877;8899,75025824176;-0,476029174184017
"10";12889,2326799531;24598,9533267729;13131,315782532;22430,5430709877;8759,55375769475;-0,467204616201116
"11";10546,0007632627;4636,76578267943;12164,0191935856;11719,6484549964;3317,30304444445;-0,454709857752551
"12";13781,8924577399;4424,09902663715;13653,9636075365;11254,1980058178;10577,2828184279;-0,451151026629672
"13";12108,1553743896;2691,81094467267;12742,235247892;11254,1980058178;7262,96386957435;-0,750223840875897
"14";14339,8048188566;843,29988941364;14021,505539342;11254,1980058178;13376,6852767182;-0,603396325911288
"15";11215,4955966028;26099,0038525434;12378,4318133704;22430,5430709877;4097,12297264957;-0,364299849793759
"16";17129,3666244404;10282,9788225358;16301,2942617868;11254,1980058178;15494,3439398424;-0,54089899057622
"17";19361,0160689074;13993,1323887091;18608,7340811599;11254,1980058178;17571,9750816846;0,0689871867925042
"18";15455,6295410901;7944,55559276976;14847,3495173706;11254,1980058178;14578,1145018298;-0,0915588251131832
"19";11773,4079577196;-4330,47420875542;12595,5451689593;5430,53668227666;6903,5854957138;-0,800370548599776
"20";15455,6295410901;5063,2854437083;14847,3495173706;5430,53668227666;14578,1145018298;-0,237089130947619
"21";13893,4749299632;20934,7706522876;13724,9933771144;11719,6484549964;12523,3374416472;-0,446152823414484
"22";12219,737846613;-1978,50315515418;12793,8314429717;5430,53668227666;7640,83119011905;-0,985019987396179
"23";10434,4182910394;4839,30066732131;12133,2631540446;11719,6484549964;2745,16837435897;-0,620062956787108
"24";14339,8048188566;10000,3857278731;14021,505539342;11719,6484549964;13376,6852767182;-0,652209200494736
"25";12108,1553743896;8020,80440996215;12742,235247892;11254,1980058178;7262,96386957435;-0,278860376144616
"26";12666,0677355064;10342,4377712449;13013,5470279001;11719,6484549964;8410,63183514295;-0,418038903556548
"27";14897,7171799734;9776,36255311593;14419,5613205905;11254,1980058178;12518,6112335927;-0,324295519398794
"28";16013,5419022069;26473,0349710705;15304,088695771;23880,0760361371;14185,2249047646;0,0382216698827254
"29";12666,0677355064;4183,98715920653;13013,5470279001;11254,1980058178;8410,63183514295;-0,627038246813332
"30";13781,8924577399;38004,8659786284;13653,9636075365;22430,5430709877;10577,2828184279;-0,329538996059987
"31";17240,9490966638;28108,6534169959;16406,9714372396;23880,0760361371;22073,5173609023;-0,177434601104456
"32";13781,8924577399;23556,5497461259;13653,9636075365;11719,6484549964;10577,2828184279;-0,252148281364811
"33";14897,7171799734;19647,8667058172;14419,5613205905;11719,6484549964;12518,6112335927;-0,257598001956813
"34";16236,7068466536;26983,1548491372;15494,7156007886;23880,0760361371;15222,1848350503;-0,252857128020768
"35";15678,7944855368;22593,3601815412;15026,6148312354;23880,0760361371;13526,7786513206;-0,183799314555874
"36";12108,1553743896;12167,4412590675;12742,235247892;11719,6484549964;7262,96386957435;-0,559373312265912
"37";11773,4079577196;19217,7207755046;12595,5451689593;11719,6484549964;6903,5854957138;-0,756572645551735
"38";16013,5419022069;23576,5491057886;15304,088695771;23880,0760361371;14185,2249047646;-0,262197208095779
"39";14507,1785271917;12618,1941693444;14137,753874768;11719,6484549964;24465,0496;-0,168261766813566
"40";16236,7068466536;28375,6335942866;15494,7156007886;23880,0760361371;15222,1848350503;-0,026501663623171
"41";11833,852182923;6504,95246232767;12621,1290037541;11719,6484549964;7659,6429;-0,614587951517759
"42";30519,2632912425;21889,7772056786;34781,1243891618;22713,5640301003;28953,6839007238;0,527703748985913
"43";16236,7068466536;22358,3524486292;15494,7156007886;23880,0760361371;15222,1848350503;-0,361379539251517
"44";16013,5419022069;8949,24957728945;15304,088695771;11254,1980058178;14185,2249047646;-0,140951144690996
"45";15455,6295410901;26269,735856628;14847,3495173706;23880,0760361371;14578,1145018298;-0,0143179073614849
"46";12882,0132940002;11927,5719530294;13127,4241907746;11719,6484549964;5482,40720645161;-0,714965123177163
"47";13781,8924577399;6059,64588257112;13653,9636075365;11254,1980058178;10577,2828184279;-0,668203920546021
"48";14730,3434716384;3152,27306926157;14296,9871273422;5430,53668227666;12952,4566;-0,512901430367524
"49";13781,8924577399;10165,0633262424;13653,9636075365;11719,6484549964;10577,2828184279;-0,691863975510088
"50";13781,8924577399;7831,02258178964;13653,9636075365;11254,1980058178;10577,2828184279;-0,913456920674212
"51";15455,6295410901;12697,2590504112;14847,3495173706;23880,0760361371;14578,1145018298;-0,0163020048172598
"52";14897,7171799734;27957,1150200581;14419,5613205905;22430,5430709877;12518,6112335927;-0,210565275946684
"53";18468,3562911206;24699,2945413301;17637,8740813305;23880,0760361371;17252,6944395373;-0,0905279170550306
"54";19361,0160689074;23681,5132326847;18608,7340811599;23880,0760361371;17571,9750816846;-0,446723536757361
"55";13223,9800966231;8017,92351791449;13317,7169590854;11254,1980058178;9068,66390037881;-0,610495163967536
"56";12108,1553743896;4941,61676967889;12742,235247892;11254,1980058178;7262,96386957435;-0,460777362492967
"57";13781,8924577399;38926,6284448504;13653,9636075365;22430,5430709877;10577,2828184279;-0,210583655100248
"58";14339,8048188566;962,944008314051;14021,505539342;5430,53668227666;13376,6852767182;-0,66085237095986
"59";16683,036735547;13127,8515208112;15889,2907466429;11254,1980058178;20336,7928938012;-0,280833716589705
"60";12889,2326799531;3628,58785768412;13131,315782532;11254,1980058178;8759,55375769475;-0,71597960116773
"61";13781,8924577399;14814,2648135489;13653,9636075365;11719,6484549964;10577,2828184279;-0,349011489963355
"62";14897,7171799734;33437,6222625012;14419,5613205905;22430,5430709877;12518,6112335927;-0,229841206072648
"63";14562,9697633033;10526,9651077455;14177,1099502073;11254,1980058178;14624,5645328412;-0,46790526640516
"64";17129,3666244404;26439,34505744;16301,2942617868;23880,0760361371;15494,3439398424;-0,195266089392623
"65";18228,7887232571;20711,92872277;17387,9623753141;23880,0760361371;23809,1324;-0,30736091129205
"66";24940,139680075;20920,78122536;25911,598978832;11254,1980058178;21495,9952811797;0,0911991832630063
"67";16906,2016799937;7003,6253012931;16093,1389639388;11254,1980058178;16092,7770157874;-0,311598145375142
"68";12889,2326799531;5050,03471772;13131,315782532;11254,1980058178;8759,55375769475;-0,704720474460924
"69";15455,6295410901;3981,96595158521;14847,3495173706;11254,1980058178;14578,1145018298;-0,370344087735626
"70";14897,7171799734;3157,18391902931;14419,5613205905;11254,1980058178;12518,6112335927;-0,514108247371952
"71";27171,789124542;13487,7003020151;29315,1701804829;22713,5640301003;28662,8010843474;0,370383268697665
"72";14339,8048188566;22076,8881579032;14021,505539342;11719,6484549964;13376,6852767182;-0,214005771917018
"73";14228,2223466333;-3517,51220425311;13945,5310391403;5430,53668227666;10630,1802215608;-0,647447395335273
"74";15344,0470688668;7843,48312844243;14759,4507935998;11254,1980058178;15793,9270378576;-0,599447284380633
"75";29626,6035134557;21802,8707089499;33288,9283171503;22713,5640301003;34222,7318333333;0,114748616093853
"76";38330,0363468771;28376,6114692688;48342,5994575999;22713,5640301003;55746,700505144;1,4860957656356
"77";13223,9800966231;24491,593171455;13317,7169590854;22430,5430709877;9068,66390037881;-0,157630171715059
"78";16125,1243744303;22141,960024571;15398,8418830613;23880,0760361371;15468,1784875621;-0,275610295763746
"79";17129,3666244404;27063,4889410511;16301,2942617868;23880,0760361371;15494,3439398424;0,0799043169774144
"80";13781,8924577399;14239,5851896107;13653,9636075365;11719,6484549964;10577,2828184279;-0,402247040618522
"81";16013,5419022069;25931,8214857001;15304,088695771;23880,0760361371;14185,2249047646;-0,0880812992236645
"82";13781,8924577399;1740,01161023136;13653,9636075365;5430,53668227666;10577,2828184279;-0,742571375152675
"83";13781,8924577399;-2629,03908481076;13653,9636075365;5430,53668227666;10577,2828184279;-0,927597099512478
"84";16013,5419022069;29808,9164120425;15304,088695771;23880,0760361371;14185,2249047646;-0,123315076216045
