"";"p_sr";"p_mr";"p_pr"
"1";14897,7171799734;16354,9099220773;14419,5613205905
"2";12666,0677355064;13736,4732985394;13013,5470279001
"3";14005,0574021866;11064,3368356554;13797,2687065552
"4";19361,0160689074;15610,065674236;18608,7340811599
"5";14674,5522355267;19378,4180935994;14256,7273579283
"6";19249,4335966841;9929,32455636933;18484,023608539
"7";13558,7275132932;5119,17208170518;13515,6657538545
"8";16013,5419022069;6048,53481859155;15304,088695771
"9";12777,6502077297;27613,7565919086;13071,7773679282
"10";12889,2326799531;24598,9533267729;13131,315782532
"11";10546,0007632627;4636,76578267943;12164,0191935856
"12";13781,8924577399;4424,09902663715;13653,9636075365
"13";12108,1553743896;2691,81094467267;12742,235247892
"14";14339,8048188566;843,29988941364;14021,505539342
"15";11215,4955966028;26099,0038525434;12378,4318133704
"16";17129,3666244404;10282,9788225358;16301,2942617868
"17";19361,0160689074;13993,1323887091;18608,7340811599
"18";15455,6295410901;7944,55559276976;14847,3495173706
"19";11773,4079577196;-4330,47420875542;12595,5451689593
"20";15455,6295410901;5063,2854437083;14847,3495173706
"21";13893,4749299632;20934,7706522876;13724,9933771144
"22";12219,737846613;-1978,50315515418;12793,8314429717
"23";10434,4182910394;4839,30066732131;12133,2631540446
"24";14339,8048188566;10000,3857278731;14021,505539342
"25";12108,1553743896;8020,80440996215;12742,235247892
"26";12666,0677355064;10342,4377712449;13013,5470279001
"27";14897,7171799734;9776,36255311593;14419,5613205905
"28";16013,5419022069;26473,0349710705;15304,088695771
"29";12666,0677355064;4183,98715920653;13013,5470279001
"30";13781,8924577399;38004,8659786284;13653,9636075365
"31";17240,9490966638;28108,6534169959;16406,9714372396
"32";13781,8924577399;23556,5497461259;13653,9636075365
"33";14897,7171799734;19647,8667058172;14419,5613205905
"34";16236,7068466536;26983,1548491372;15494,7156007886
"35";15678,7944855368;22593,3601815412;15026,6148312354
"36";12108,1553743896;12167,4412590675;12742,235247892
"37";11773,4079577196;19217,7207755046;12595,5451689593
"38";16013,5419022069;23576,5491057886;15304,088695771
"39";14507,1785271917;12618,1941693444;14137,753874768
"40";16236,7068466536;28375,6335942866;15494,7156007886
"41";11833,852182923;6504,95246232767;12621,1290037541
"42";30519,2632912425;21889,7772056786;34781,1243891618
"43";16236,7068466536;22358,3524486292;15494,7156007886
"44";16013,5419022069;8949,24957728945;15304,088695771
"45";15455,6295410901;26269,735856628;14847,3495173706
"46";12882,0132940002;11927,5719530294;13127,4241907746
"47";13781,8924577399;6059,64588257112;13653,9636075365
"48";14730,3434716384;3152,27306926157;14296,9871273422
"49";13781,8924577399;10165,0633262424;13653,9636075365
"50";13781,8924577399;7831,02258178964;13653,9636075365
"51";15455,6295410901;12697,2590504112;14847,3495173706
"52";14897,7171799734;27957,1150200581;14419,5613205905
"53";18468,3562911206;24699,2945413301;17637,8740813305
"54";19361,0160689074;23681,5132326847;18608,7340811599
"55";13223,9800966231;8017,92351791449;13317,7169590854
"56";12108,1553743896;4941,61676967889;12742,235247892
"57";13781,8924577399;38926,6284448504;13653,9636075365
"58";14339,8048188566;962,944008314051;14021,505539342
"59";16683,036735547;13127,8515208112;15889,2907466429
"60";12889,2326799531;3628,58785768412;13131,315782532
"61";13781,8924577399;14814,2648135489;13653,9636075365
"62";14897,7171799734;33437,6222625012;14419,5613205905
"63";14562,9697633033;10526,9651077455;14177,1099502073
"64";17129,3666244404;26439,34505744;16301,2942617868
"65";18228,7887232571;20711,92872277;17387,9623753141
"66";24940,139680075;20920,78122536;25911,598978832
"67";16906,2016799937;7003,6253012931;16093,1389639388
"68";12889,2326799531;5050,03471772;13131,315782532
"69";15455,6295410901;3981,96595158521;14847,3495173706
"70";14897,7171799734;3157,18391902931;14419,5613205905
